commento,valutazione,tossicita,tipo_tossicita,age_group,gender,utente_id,comment_cleaned,emoji_set,emoji_count,parole_maiusc,pos_tag,nrc_affect_dict,nrc_raw_scores,nrc_top_emotions,nrc_affect_frequencies,comm_polarita,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,comment_tokenized,comment_tok=2,comment_tok=3,comment_lemmatized,VAD_valence,VAD_arousal,VAD_dominance
I will harvest your organs,A little violent,1,4,1,0,10,harvest organs,set(),0,[],"[('harvest', 'NN'), ('organs', 'NNS')]","{'harvest': ['anticipation', 'joy', 'positive']}","{'anticipation': 1, 'joy': 1, 'positive': 1}","[('positive', 0.3333333333333333), ('joy', 0.3333333333333333), ('anticipation', 0.3333333333333333)]","{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.3333333333333333, 'anticipation': 0.3333333333333333}",0.0,8.790000000000003,10.185,7.6245875,35.60500000000002,0.8,52.0,3.0,1.0,7.9942,"['harvest', 'organs']","[('harvest', 'organs')]",[],"['harvest', 'organ']",0.562,-0.294,0.096
Death to all wh*te people,A little violent,1,4,1,0,10,death wh te people,set(),0,[],"[('death', 'NN'), ('wh', 'NN'), ('te', 'NN'), ('people', 'NNS')]","{'death': ['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']}","{'anger': 1, 'anticipation': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1, 'surprise': 1}","[('fear', 0.14285714285714285), ('anger', 0.14285714285714285), ('surprise', 0.14285714285714285), ('negative', 0.14285714285714285), ('sadness', 0.14285714285714285), ('disgust', 0.14285714285714285), ('anticipation', 0.14285714285714285)]","{'fear': 0.14285714285714285, 'anger': 0.14285714285714285, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.14285714285714285, 'positive': 0.0, 'negative': 0.14285714285714285, 'sadness': 0.14285714285714285, 'disgust': 0.14285714285714285, 'joy': 0.0, 'anticipation': 0.14285714285714285}",0.0,-8.129999999999999,-1.7674999999999983,-1.1481827499999984,160.47500000000002,1.6,4.0,3.0,0.0,8.0934,"['death', 'wh', 'te', 'people']","[('death', 'wh'), ('wh', 'te'), ('te', 'people')]","[('death', 'wh', 'te'), ('wh', 'te', 'people')]","['death', 'wh', 'te', 'people']",-0.365,0.12,-0.028
They should be burned alive.,A little violent,1,4,1,0,10,burned alive,set(),0,[],"[('burned', 'VBN'), ('alive', 'JJ')]","{'alive': ['anticipation', 'joy', 'positive', 'trust']}","{'anticipation': 1, 'joy': 1, 'positive': 1, 'trust': 1}","[('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]","{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.25, 'surprise': 0.0, 'positive': 0.25, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.25, 'anticipation': 0.25}",0.1,8.790000000000003,5.475000000000001,1.7447365000000057,35.60500000000002,0.8,2.0,3.0,0.0,7.9942,"['burned', 'alive']","[('burned', 'alive')]",[],"['burn', 'alive']",-0.0815,0.24,0.078
"I hate this mother fucker with all my black heart and soul, I hope he dies a painful 36 year death.",A little violent,1,4,1,0,10,hate mother fucker black heart soul hope dies painful year death,set(),0,[],"[('hate', 'NN'), ('mother', 'NN'), ('fucker', 'NN'), ('black', 'JJ'), ('heart', 'NN'), ('soul', 'NN'), ('hope', 'NN'), ('dies', 'VBZ'), ('painful', 'JJ'), ('year', 'NN'), ('death', 'NN')]","{'hate': ['anger', 'disgust', 'fear', 'negative', 'sadness'], 'mother': ['anticipation', 'joy', 'negative', 'positive', 'sadness', 'trust'], 'black': ['negative', 'sadness'], 'hope': ['anticipation', 'joy', 'positive', 'surprise', 'trust'], 'painful': ['anger', 'disgust', 'fear', 'negative', 'sadness'], 'death': ['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']}","{'anger': 3, 'disgust': 3, 'fear': 3, 'negative': 5, 'sadness': 5, 'anticipation': 3, 'joy': 2, 'positive': 2, 'trust': 2, 'surprise': 2}","[('negative', 0.16666666666666666), ('sadness', 0.16666666666666666)]","{'fear': 0.1, 'anger': 0.1, 'anticip': 0.0, 'trust': 0.06666666666666667, 'surprise': 0.06666666666666667, 'positive': 0.06666666666666667, 'negative': 0.16666666666666666, 'sadness': 0.16666666666666666, 'disgust': 0.1, 'joy': 0.06666666666666667, 'anticipation': 0.1}",-0.5555555555555555,3.7181818181818183,7.191818181818181,10.374166363636366,87.99727272727276,4.4,20.090909090909093,3.0,1.0,1.9810545454545456,"['hate', 'mother', 'fucker', 'black', 'heart', 'soul', 'hope', 'dies', 'painful', 'year', 'death']","[('hate', 'mother'), ('mother', 'fucker'), ('fucker', 'black'), ('black', 'heart'), ('heart', 'soul'), ('soul', 'hope'), ('hope', 'dies'), ('dies', 'painful'), ('painful', 'year'), ('year', 'death')]","[('hate', 'mother', 'fucker'), ('mother', 'fucker', 'black'), ('fucker', 'black', 'heart'), ('black', 'heart', 'soul'), ('heart', 'soul', 'hope'), ('soul', 'hope', 'dies'), ('hope', 'dies', 'painful'), ('dies', 'painful', 'year'), ('painful', 'year', 'death')]","['hate', 'mother', 'fucker', 'black', 'heart', 'soul', 'hope', 'dy', 'painful', 'year', 'death']",-0.0659999999999999,0.0624444444444444,0.038
"All these guys are now probably being investigated.

I hope they burn in the same hell as the terrorists they fought",A little violent,1,4,1,1,11,guys probably investigated hope burn hell terrorists fought,set(),0,[],"[('guys', 'NNS'), ('probably', 'RB'), ('investigated', 'VBD'), ('hope', 'JJ'), ('burn', 'NN'), ('hell', 'NN'), ('terrorists', 'NNS'), ('fought', 'VBD')]","{'hope': ['anticipation', 'joy', 'positive', 'surprise', 'trust'], 'hell': ['anger', 'disgust', 'fear', 'negative', 'sadness']}","{'anticipation': 1, 'joy': 1, 'positive': 1, 'surprise': 1, 'trust': 1, 'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.1), ('anger', 0.1), ('trust', 0.1), ('surprise', 0.1), ('positive', 0.1), ('negative', 0.1), ('sadness', 0.1), ('disgust', 0.1), ('joy', 0.1), ('anticipation', 0.1)]","{'fear': 0.1, 'anger': 0.1, 'anticip': 0.0, 'trust': 0.1, 'surprise': 0.1, 'positive': 0.1, 'negative': 0.1, 'sadness': 0.1, 'disgust': 0.1, 'joy': 0.1, 'anticipation': 0.1}",0.0,11.130000000000004,13.184999999999995,18.7198175,29.515000000000025,18.2,45.5,12.486832980505138,3.0,8.2918,"['guys', 'probably', 'investigated', 'hope', 'burn', 'hell', 'terrorists', 'fought']","[('guys', 'probably'), ('probably', 'investigated'), ('investigated', 'hope'), ('hope', 'burn'), ('burn', 'hell'), ('hell', 'terrorists'), ('terrorists', 'fought')]","[('guys', 'probably', 'investigated'), ('probably', 'investigated', 'hope'), ('investigated', 'hope', 'burn'), ('hope', 'burn', 'hell'), ('burn', 'hell', 'terrorists'), ('hell', 'terrorists', 'fought')]","['guy', 'probably', 'investigate', 'hope', 'burn', 'hell', 'terrorist', 'fight']",-0.3157142857142857,0.4007142857142857,0.2442857142857143
Yeah look at those dumb dumbs that want to make money to pay their bills... they are the threat I hope they die.,A little violent,1,4,1,1,12,yeah look dumb dumbs want make money pay bills threat hope die,set(),0,[],"[('yeah', 'NNS'), ('look', 'VBP'), ('dumb', 'JJ'), ('dumbs', 'NNS'), ('want', 'VBP'), ('make', 'VB'), ('money', 'NN'), ('pay', 'NN'), ('bills', 'NNS'), ('threat', 'NN'), ('hope', 'VBP'), ('die', 'NN')]","{'dumb': ['negative'], 'money': ['anger', 'anticipation', 'joy', 'positive', 'surprise', 'trust'], 'pay': ['anticipation', 'joy', 'positive', 'trust'], 'threat': ['anger', 'fear', 'negative'], 'hope': ['anticipation', 'joy', 'positive', 'surprise', 'trust'], 'die': ['fear', 'negative', 'sadness']}","{'negative': 3, 'anger': 2, 'anticipation': 3, 'joy': 3, 'positive': 3, 'surprise': 2, 'trust': 3, 'fear': 2, 'sadness': 1}","[('trust', 0.13636363636363635), ('positive', 0.13636363636363635), ('negative', 0.13636363636363635), ('joy', 0.13636363636363635), ('anticipation', 0.13636363636363635)]","{'fear': 0.09090909090909091, 'anger': 0.09090909090909091, 'anticip': 0.0, 'trust': 0.13636363636363635, 'surprise': 0.09090909090909091, 'positive': 0.13636363636363635, 'negative': 0.13636363636363635, 'sadness': 0.045454545454545456, 'disgust': 0.0, 'joy': 0.13636363636363635, 'anticipation': 0.13636363636363635}",-0.375,1.8733333333333315,4.587499999999999,6.722956083333337,103.00500000000002,4.800000000000001,12.0,3.0,0.0,5.858533333333333,"['yeah', 'look', 'dumb', 'dumbs', 'want', 'make', 'money', 'pay', 'bills', 'threat', 'hope', 'die']","[('yeah', 'look'), ('look', 'dumb'), ('dumb', 'dumbs'), ('dumbs', 'want'), ('want', 'make'), ('make', 'money'), ('money', 'pay'), ('pay', 'bills'), ('bills', 'threat'), ('threat', 'hope'), ('hope', 'die')]","[('yeah', 'look', 'dumb'), ('look', 'dumb', 'dumbs'), ('dumb', 'dumbs', 'want'), ('dumbs', 'want', 'make'), ('want', 'make', 'money'), ('make', 'money', 'pay'), ('money', 'pay', 'bills'), ('pay', 'bills', 'threat'), ('bills', 'threat', 'hope'), ('threat', 'hope', 'die')]","['yeah', 'look', 'dumb', 'dumbs', 'want', 'make', 'money', 'pay', 'bill', 'threat', 'hope', 'die']",0.0473,0.0566,0.0386
Death to British rule 🇨🇳🇨🇳🇨🇳,Non violent,0,4,1,1,16,death british rule cncncn,{'🇨🇳'},3,[],"[('death', 'NN'), ('british', 'JJ'), ('rule', 'NN'), ('cncncn', 'NN')]","{'death': ['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise'], 'rule': ['fear', 'trust']}","{'anger': 1, 'anticipation': 1, 'disgust': 1, 'fear': 2, 'negative': 1, 'sadness': 1, 'surprise': 1, 'trust': 1}","[('fear', 0.2222222222222222)]","{'fear': 0.2222222222222222, 'anger': 0.1111111111111111, 'anticip': 0.0, 'trust': 0.1111111111111111, 'surprise': 0.1111111111111111, 'positive': 0.0, 'negative': 0.1111111111111111, 'sadness': 0.1111111111111111, 'disgust': 0.1111111111111111, 'joy': 0.0, 'anticipation': 0.1111111111111111}",0.0,-2.229999999999998,6.475000000000001,9.141556500000007,118.175,1.6,29.0,3.0,1.0,8.0934,"['death', 'british', 'rule', 'cncncn']","[('death', 'british'), ('british', 'rule'), ('rule', 'cncncn')]","[('death', 'british', 'rule'), ('british', 'rule', 'cncncn')]","['death', 'british', 'rule', 'cncncn']",-0.4019999999999999,0.147,0.065
All pedias should burn in hell,A little violent,1,4,1,1,16,pedias burn hell,set(),0,[],"[('pedias', 'JJ'), ('burn', 'NN'), ('hell', 'NN')]","{'hell': ['anger', 'disgust', 'fear', 'negative', 'sadness']}","{'anger': 1, 'disgust': 1, 'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.2), ('anger', 0.2), ('negative', 0.2), ('sadness', 0.2), ('disgust', 0.2)]","{'fear': 0.2, 'anger': 0.2, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.2, 'sadness': 0.2, 'disgust': 0.2, 'joy': 0.0}",0.0,5.246666666666666,2.0500000000000007,1.7760740000000013,62.790000000000006,14.533333333333331,3.0,8.477225575051662,0.0,5.412133333333332,"['pedias', 'burn', 'hell']","[('pedias', 'burn'), ('burn', 'hell')]","[('pedias', 'burn', 'hell')]","['pedias', 'burn', 'hell']",-0.761,0.5905,0.074
"Also if you’re Uyghur or HKer you’ll literally be exterminated

Source: my ass",Non violent,0,4,1,1,16,also uyghur hker literally exterminated source ass,set(),0,[],"[('also', 'RB'), ('uyghur', 'JJ'), ('hker', 'NN'), ('literally', 'RB'), ('exterminated', 'VBN'), ('source', 'NN'), ('ass', 'NN')]",{'ass': ['negative']},{'negative': 1},"[('negative', 1.0)]","{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 1.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",0.0,14.111428571428572,11.675714285714283,16.931505142857148,6.35857142857147,14.228571428571428,35.57142857142857,10.745966692414834,2.0,13.881485714285716,"['also', 'uyghur', 'hker', 'literally', 'exterminated', 'source', 'ass']","[('also', 'uyghur'), ('uyghur', 'hker'), ('hker', 'literally'), ('literally', 'exterminated'), ('exterminated', 'source'), ('source', 'ass')]","[('also', 'uyghur', 'hker'), ('uyghur', 'hker', 'literally'), ('hker', 'literally', 'exterminated'), ('literally', 'exterminated', 'source'), ('exterminated', 'source', 'ass')]","['also', 'uyghur', 'hker', 'literally', 'exterminate', 'source', 'as']",0.2073333333333333,-0.2193333333333333,0.238
"You kill me your betta, I kill you I’m betta",A little violent,1,4,2,0,18,kill betta kill betta,set(),0,[],"[('kill', 'VB'), ('betta', 'NN'), ('kill', 'NN'), ('betta', 'NN')]","{'kill': ['fear', 'negative', 'sadness']}","{'fear': 2, 'negative': 2, 'sadness': 2}","[('fear', 0.3333333333333333), ('negative', 0.3333333333333333), ('sadness', 0.3333333333333333)]","{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",0.0,3.6700000000000017,1.7650000000000006,3.261705500000005,75.87500000000001,1.6,4.0,3.0,0.0,8.0934,"['kill', 'betta', 'kill', 'betta']","[('kill', 'betta'), ('betta', 'kill'), ('kill', 'betta')]","[('kill', 'betta', 'kill'), ('betta', 'kill', 'betta')]","['kill', 'betta', 'kill', 'betta']",-0.896,0.882,0.472
we'll kill him last,A little violent,1,4,1,0,19,kill last,set(),0,[],"[('kill', 'NN'), ('last', 'JJ')]","{'kill': ['fear', 'negative', 'sadness']}","{'fear': 1, 'negative': 1, 'sadness': 1}","[('fear', 0.3333333333333333), ('negative', 0.3333333333333333), ('sadness', 0.3333333333333333)]","{'fear': 0.3333333333333333, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.3333333333333333, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.0}",0.0,-3.01,-1.59,-7.075039999999998,120.205,0.8,2.0,3.0,0.0,3.7357,"['kill', 'last']","[('kill', 'last')]",[],"['kill', 'last']",-0.655,0.204,0.0329999999999999
